项目名,基于哪条manifest分支,访问次数,最近一次访问时间
CROWN,Turbox-QCM6490.LA.3.2,2,2025-07-01 13:52:00
CleanEye,Turbox-QCM6490.LA.3.2,2,2025-07-28 11:45:00
Foresight,Turbox-Hamoa.WP.1.0,1,2025-07-16 17:11:00
Kyle,Turbox-Snapdragon_Mid_2022.SPF.2.0,2,2025-07-24 13:27:00
NEXT,Turbox-QCM6490.LA.3.2,2,2025-07-04 10:57:00
Plug,Turbox-Snapdragon_Mid_2022.SPF.2.0,4,2025-07-23 18:42:00
PlusWin,Turbox-QCM6490.WP.1.0,1,2025-07-16 12:17:00
Poc_9100M_DK,Turbox-Qualcomm_Linux.SPF.1.0,1,2025-07-24 09:48:00
Puzzle_EV1,Snapdragon_Premium_High_2023.SPF.1.0,1,2025-07-30 14:46:00
Rob_Earth,Turbox-Qualcomm_Linux.SPF.1.0,1,2025-07-08 10:52:00
Stellar,Turbox-QCS8550.LE.1.0,2,2025-07-11 13:52:00
Wos6490P_NUC,Turbox-QCM6490.LA.3.1,2,2025-07-23 17:29:00
