易链流程号,项目名,"基于哪条manifest分支
",基于哪个manifest文件,要创建的manifest分支,要创建的manifest文件,申请时间
375,Rich,Turbox-Snapdragon_Premium_High_2022.SPF.1.0,turbox-c8550-la1.0-le-dev.xml,Turbox-Snapdragon_Premium_High_2022.SPF.1.0,rich-c8550-la1.0-r00024.0-dev,2023/1/9 17:52
376,Pre_Figure,Turbox-SXR2130P.LA.1.1,release/Pre_figure_turbox-c2130c-la1.1-qssi12-dev/static.daily.Pre_figure_turbox-c2130c-la1.1-qssi12-dev-20230112.2308.xml,Turbox-SXR2130P.LA.1.1,Pre_figure_turbox-c2130c-la1.1-qssi12-release_v5.5.xml,2023/1/13 7:34
377,Pre_Figure,Turbox-SXR2130P.LA.1.1,release/Pre_figure_turbox-c2130c-la1.1-vendor-dev/static.daily.Pre_figure_turbox-c2130c-la1.1-vendor-dev-20230112.2308.xml,Turbox-SXR2130P.LA.1.1,Pre_figure_turbox-c2130c-la1.1-vendor-release_v5.5.xml,2023/1/13 7:34
378,CleanEye,Turbox-QCM6490.LA.2.0,project/CleanEye/CleanEye-c6490-la2.0-vendor-dev.xml,Turbox-QCM6490.LA.2.0,CleanEye-c6490-la2.0-vendor-evt2-dev.xml,2023/1/17 16:56
379,CleanEye,Turbox-QCM6490.LA.2.0,project/CleanEye/CleanEye-c6490-la2.0-qssi12-dev.xml,Turbox-QCM6490.LA.2.0,CleanEye-c6490-la2.0-qssi12-evt2-dev.xml,2023/1/17 16:57
380,Turbox_EB5_2023,Turbox-QCS8250.LA.1.0,project/EB5/turbox-eb5-la1.0-dev.xml,Turbox-QCS8250.LA.1.0,turbox-eb5-la1.0-mogu.xml,2023/1/29 16:04
381,Rainbow_D,Turbox-QCS8250.LA.1.0,project/Rainbow_C/rainbow-dt865-la1.0-evt3-dev.xml,Turbox-QCS8250.LA.1.0,rainbow-dt865-la1.0-evt3-4g-dev.xml,2023/1/30 16:40
382,Gohack,Turbox-SXR2130.LA.1.0.1_SDX55.TN.2.0,project/Oracle/daily/static.daily.oracle-sxr2130-la.1.0.1-r00280.3-dev-202301101342.xml,Turbox-SXR2130.LA.1.0.1_SDX55.TN.2.0,Gohack-sxr2130-la.1.0.1-r00280.3-dev,2023/2/1 15:27
383,December,Turbox-QRB5165.UBUN.1.0,release/turbox-rb5165-lu1.0-dev/static.R.turbox-rb5165-lu1.0-dev.release.Post-CS5.r003006.xml,Turbox-QRB5165.UBUN.1.0,December-ly-rb5165-lu1.0-dev.xml,2023/2/2 9:53
384,Turbox_EB5_2023,Turbox-QRB5165.UBUN.1.0,project/turbox-eb5/turbox-eb5-lu1.0-dev.xml,Turbox-QRB5165.UBUN.1.0,turbox-eb5u-lu1.0-dev.xml,2023/2/2 20:28
385,Rich,Turbox-Snapdragon_Premium_High_2022.SPF.1.0,rich-c8550-la1.0-qssi-r00024.0-dev.xml,Turbox-Snapdragon_Premium_High_2022.SPF.1.0,rich-c8550-la1.0-qssi-r00024.0-dev,2023/2/7 16:09
386,Turbox_EB5_2023,Turbox-QCS8250.LA.1.0,project/EB5/turbox-eb5-la1.0-dev.xml,Turbox-QCS8250.LA.1.0,turbox-eb5u-la1.0-dev.xml,2023/2/8 10:03
387,Pre_Figure,Turbox-SXR2130P.LA.1.1,release/Pre_figure_turbox-c2130c-la1.1-qssi12-dev/static.daily.Pre_figure_turbox-c2130c-la1.1-qssi12-dev-20230209.0318.xml,Turbox-SXR2130P.LA.1.1,Pre_figure_turbox-c2130c-la1.1-qssi12-release_v6.0.xml,2023/2/9 10:35
388,Pre_Figure,Turbox-SXR2130P.LA.1.1,release/Pre_figure_turbox-c2130c-la1.1-vendor-dev/static.daily.Pre_figure_turbox-c2130c-la1.1-vendor-dev-20230209.0318.xml,Turbox-SXR2130P.LA.1.1,Pre_figure_turbox-c2130c-la1.1-vendor-release_v6.0.xml,2023/2/9 10:38
389,LEXUS,Turbox-QCS8250.LA.1.1,turbox-c865c-la1.1-dev.xml,Turbox-QCS8250.LA.1.1,Lexus-c865c-la1.1-dev.xml,2023/2/13 17:30
390,Tvitality,Turbox-T62.LE.1.2,turbox-t62-le1.2_1G-dev.xml,Turbox-T62.LE.1.2,Tivality_turbox-t62-le1.2_1G-dev.xml,2023/2/14 13:36
391,Camus,Turbox-QCS610.LE.2.0,turbox-c610-le2.0-dev.release.CS.r002001.xml,Turbox-QCS610.LE.2.0,camus-c610-le2.0-dev.xml,2023/2/20 10:17
392,Alps,Turbox-QCM6490.LA.2.0,turbox-c6490-la2.0-qssi12-dev.xml,Turbox-QCM6490.LA.2.0,Alps-c6490-la2.0-qssi12-dev-evt.xml ,2023/2/20 11:30
393,CatcherPlus,Turbox-Snapdragon_Mid_2020_IOT.SPF.1.0.1,catcher-cm2290-la1.0.1-factory.xml,Turbox-Snapdragon_Mid_2020_IOT.SPF.1.0.1,catcherplus-cm2290-la1.0.1-dev.xml,2023/2/21 13:31
394,ZingPoC,Turbox-Snapdragon_High_2019.SPF.3.0,Zing-sm7125-la3.0-sdk.xml,Turbox-Snapdragon_High_2019.SPF.3.0,Zing-sm7125-la3.0-sdk-EU.xml,2023/2/26 15:15
395,Pre_Figure,Turbox-SXR2130P.LA.1.1,release/Pre_figure_turbox-c2130c-la1.1-qssi12-dev/static.daily.Pre_figure_turbox-c2130c-la1.1-qssi12-dev-20230228.0307.xml,Turbox-SXR2130P.LA.1.1,Pre_figure_turbox-c2130c-la1.1-qssi12-release_v6.5.xml,2023/2/28 8:24
396,Pre_Figure,Turbox-SXR2130P.LA.1.1,release/Pre_figure_turbox-c2130c-la1.1-vendor-dev/static.daily.Pre_figure_turbox-c2130c-la1.1-vendor-dev-20230228.0307.xml,Turbox-SXR2130P.LA.1.1,Pre_figure_turbox-c2130c-la1.1-vendor-release_v6.5.xml,2023/2/28 8:25
397,TurboX_T62G_EA,Turbox-T62.LE.1.2,turbox-t62-le1.2-dev.xml,Turbox-T62.LE.1.2, turbox-t65-le1.2-dev.xml,2023/3/1 11:36
398,MagicEye2,magiceye-sxr2130-la1.0.1_sdx55.tn.2.0-dev,magiceye-sxr2130-la1.0.1_sdx55.tn.2.0-dev.xml,magiceye-sxr2130-la1.0.1_sdx55.tn.2.0-dev,magiceye2-sxr2130-la1.0.1_sdx55.tn.2.0-dev.xml,2023/3/2 14:06
399,TurboX_T62G_EA,Turbox-T62.LE.1.2,turbox-t65-le1.2-dev.xml,Turbox-T62.LE.1.2,turbox-t65-le1.2_pcie_ep_ipq-dev.xml,2023/3/2 14:32
400,TurboX_T62G_EA,Turbox-T62.LE.1.2,turbox-t62-le1.2_pcie_ep_ipq-dev.xml,Turbox-T62.LE.1.2,turbox-t65-le1.2_pcie_ep_ipq-dev.xml,2023/3/2 18:27
401,Gold_Coast,Turbox-QCS610.LA.1.0,genie-c610-la1.0-main.xml,Turbox-QCS610.LA.1.0,genie-c610-la1.0-factory.xml,2023/3/7 12:48
402,Rich,Turbox-QCS8550.LA.1.0,turbox-c8550-la1.0-qssi-dev.xml,Turbox-QCS8550.LA.1.0,rich-c8550-la1.0-qssi-dev.xml,2023/3/7 17:30
403,Plum,Turbox-QCM6490.LA.3.0,qcom-base/QCM6490.LA.3.0-vendor-r00028.1.xml,Turbox-QCM6490.LA.3.0,panda-c6490-la3.0-vendor-dev.xml,2023/3/8 14:46
404,Plum,Turbox-QCM6490.LA.3.0,qcom-base/QCM6490.LA.3.0-qssi13-r00028.1.xml,Turbox-QCM6490.LA.3.0,panda-c6490-la3.0-qssi13-dev.xml,2023/3/8 14:47
